Title,Year,Decision,Notes
Understanding English as a Foreign Language Students' Idea Generation Strategies for Creative Writing with Natural Language Generation Tools,2023,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are explicitly described as English as a foreign language (EFL) students in Hong Kong secondary schools, focusing on English creative writing.""}, ""c2"": {""status"": ""unclear"", ""evidence"": ""The study uses \u2018natural language generation (NLG) tools\u2019 for idea generation. It is not specified whether these are large language models (e.g., ChatGPT/GPT-4) or other, non-LLM NLG systems. However, the tools are used mainly for idea generation, not as a structured, experimental LLM-based instructional intervention.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The primary focus is on students\u2019 idea generation strategies and interactions with NLG tools, explored via thematic analysis of reflections. There is no explicit focus on measuring writing competence or writing-related performance outcomes; instead, it examines perceptions and strategies around idea generation.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The abstract reports a qualitative thematic analysis of written reflections and does not mention any quantifiable writing outcome metrics (e.g., writing scores, text quality measures, pre/post tests). The outcomes are students\u2019 concerns and strategies, not measured changes in writing performance.""}}"
"Artificial Intelligence in English Language Teaching: the Good, the Bad and the Ugly",2023,exclude,"{""c1"": {""status"": ""unclear"", ""evidence"": ""The abstract discusses English language teaching (ELT) broadly and mentions learners, teachers, and institutions, but does not specify that the focus is on L2 English learners in ESL/EFL/ELL contexts or provide participant details, as it appears to be a conceptual/overview article.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""The article is a descriptive overview of how AI is used in ELT, mentioning chatbots, machine translation, intelligent tutoring systems, and automated writing evaluation. It does not describe an experimental or quasi-experimental intervention integrating LLMs (e.g., ChatGPT, GPT-4) into writing instruction or processes.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The focus is on AI in ELT generally, including ethical issues, learner wellbeing, and digital literacies. Writing is only briefly referenced via automated writing evaluation as one of many AI tools, and there is no indication that writing competence or writing-related variables are the primary focus of the study.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The abstract does not mention any empirical data, experimental measures, or quantifiable writing outcomes. It is an exploratory/overview article discussing opportunities, challenges, and ethical issues rather than reporting intervention outcomes.""}}"
Recipe: How to Integrate Chatgpt into Efl Writing Education,2023,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are 213 undergraduate and graduate students enrolled in EFL writing courses, clearly indicating L2 English learners in an EFL context.""}, ""c2"": {""status"": ""pass"", ""evidence"": ""The study presents RECIPE, a platform that integrates ChatGPT (a large language model) into EFL writing education, with ChatGPT taking an EFL teacher role and interacting with students about their self-written summaries.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The context is explicitly EFL writing courses, and the platform is designed for revising an essay with ChatGPT, focusing on writing-related learning activities.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The abstract reports collection of interaction data, students\u2019 perceptions, usage, user scenarios, and qualitative interviews. It does not mention any experimental or quasi-experimental design with quantifiable writing outcome measures (e.g., writing scores, quality ratings, or pre/post tests). The focus is exploratory and design-oriented rather than on measured writing gains.""}}"
Chatgpt and the Efl Classroom: Supplement or Substitute in Saudi Arabia’s Eastern Region,2023,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are 64 EFL learners at a language learning institution in Saudi Arabia\u2019s Eastern Region, clearly indicating L2 English learners in an EFL context.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""Although ChatGPT is used in writing opportunities, the design focuses on comparing satisfaction with teacher-mediated vs. ChatGPT-assisted writing, not on an experimental or quasi-experimental pedagogical intervention aimed at improving writing performance. The emphasis is on perceptions rather than structured instructional treatment effects.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The context is EFL writing: the study compares teacher-mediated versus ChatGPT-assisted writing opportunities, which is directly related to writing instruction and writing processes.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""Outcomes are learners\u2019 satisfaction components (learning content, learning progress, ease of use, interactive opportunities) derived from factor analysis of open-ended responses. No quantifiable writing performance metrics (e.g., scores, quality ratings, accuracy, complexity) are reported to assess writing improvement.""}}"
Using Chatgpt for Second Language Writing: Pitfalls and Potentials,2023,exclude,"{""c1"": {""status"": ""unclear"", ""evidence"": ""The abstract discusses 'second language (L2) writing' in general but does not specify that the focus is on L2 English learners (ESL/EFL/ELL) or that the target language is English. The population and language context remain unspecified.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""The article is explicitly described as a 'tech review' that explores potential benefits and challenges of using ChatGPT for L2 writing. It does not indicate any experimental or quasi-experimental design, nor an implemented LLM-based instructional intervention.""}, ""c3"": {""status"": ""unclear"", ""evidence"": ""The focus is on L2 writing and pedagogy, suggesting relevance to writing competence, but as a review rather than an empirical intervention study. The primary aim is conceptual/analytical, not an implemented pedagogical context.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""As a review article, it does not report quantifiable writing outcome metrics or empirical measures of intervention effectiveness. It offers recommendations and discusses potentials and pitfalls without experimental outcome data.""}}"
Assessing the Effectiveness of Quillbot-mediated Instruction in Enhancing Efl Students’ Paraphrasing Skills,2023,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are explicitly described as EFL university students enrolled in a Technical Writing course, so they are L2 English learners in an EFL context.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""The intervention uses QuillBot, described as an online paraphrasing tool. QuillBot is not clearly an LLM-based pedagogical writing intervention in the sense required (e.g., ChatGPT/GPT-4-style generative transformer used instructionally), and is listed in the protocol as an example of tools to exclude if not LLM-based.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The focus is on improving paraphrasing skills within Technical Writing, which is a writing-related competence. The intervention is framed as instruction to enhance writing (paraphrasing) performance.""}, ""c4"": {""status"": ""pass"", ""evidence"": ""A test was used to measure students\u2019 paraphrasing skills, and the abstract reports that the QuillBot-mediated instructional program \u2018highly benefited students\u2019 paraphrasing skills,\u2019 indicating quantifiable outcome measures.""}}"
X-education: Education of All Things with Ai and Edge Computing-one Case Study for Efl Learning,2022,unsure,"{""c1"": {""status"": ""pass"", ""evidence"": ""The abstract explicitly mentions EFL learners and EFL writing. Participants are described as EFL learners (22 learners), indicating L2 English learners in an EFL context.""}, ""c2"": {""status"": ""unclear"", ""evidence"": ""The study uses \u201con-device AI\u201d and an X-Education framework with Q&A forwarding mechanisms, but it is not specified whether this AI is a large language model (e.g., ChatGPT/GPT-like transformer-based generative model) or another type of AI. Without clarification, it is unclear if an LLM is integrated into the writing instruction or process.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The context includes an EFL writing preliminary study and mentions that learners felt X-Education could help them learn EFL writing better through Q&A. This indicates a focus on writing-related learning, not just general language or assessment.""}, ""c4"": {""status"": ""unclear"", ""evidence"": ""The abstract reports significant increases in the \u2018knowledge of all things\u2019 and that the experimental group received better EFL answers from the AI and perceived benefits for EFL writing. However, it does not clearly state whether quantifiable writing outcome metrics (e.g., writing scores, text quality measures) were collected, as opposed to general knowledge gains and perceptions.""}}"
Impact on Second Language Writing Via an Intelligent Writing Assistant and Metacognitive Training,2022,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are explicitly described as EFL (English as a foreign language) university-level learners completing TOEFL iBT-style independent writing tasks, so the population is L2 English learners in an EFL context.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""The intervention is an internally developed online writing aid with next-word prediction and reverse translation support. The abstract does not indicate that this tool is based on a large language model (e.g., transformer-based generative model like GPT). It appears to be a predictive text/assistive tool rather than an LLM-based system, so it does not meet the LLM intervention criterion.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The study focuses on second language writing output and writing quality, using TOEFL iBT-style writing tasks and a writing assistant. The primary context is clearly writing competence and writing-related variables.""}, ""c4"": {""status"": ""pass"", ""evidence"": ""Writing outputs were assessed by machine and human raters using several measures for writing quality, and the study reports that the treatment group performed better than the control group. This indicates quantifiable writing outcome metrics are reported.""}}"
Determinants Affecting Teachers' Adoption of Ai-based Applications in Efl Context: an Analysis of Analytic Hierarchy Process,2022,exclude,"{""c1"": {""status"": ""unclear"", ""evidence"": ""The context is EFL, but the abstract does not specify whether the focus is on learners\u2019 English writing or even on learners at all; it centers on teachers\u2019 adoption of AI applications. The target language is English, but the participant population relevant to L2 writing outcomes is not clearly defined.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""The study analyzes determinants of teachers\u2019 adoption of AI-based applications using an Analytic Hierarchy Process model. It does not describe an experimental or quasi-experimental pedagogical intervention integrating a specific LLM (e.g., ChatGPT) into writing instruction or writing processes.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The primary focus is on technology adoption factors (effectiveness, efficiency, complexity, fees, etc.) for AI applications in EFL, not on writing competence or writing-related variables. No writing instruction or writing process intervention is described.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The study reports weighted factors influencing adoption decisions, not quantifiable writing outcome metrics. There is no measurement of learners\u2019 writing performance or related writing outcomes following an LLM-mediated intervention.""}}"
The Role of Psycholinguistics for Language Learning in Teaching Based on Formulaic Sequence Use and Oral Fluency,2022,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""The participants are Chinese EFL learners (\u201cLearners of English as a foreign language\u2026 Chinese EFL learners\u201d), so the population clearly consists of L2 English learners in an EFL context.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""Although the study mentions being \u201ccombined with artificial intelligence techniques,\u201d there is no indication that a large language model (e.g., ChatGPT, GPT-4) is integrated into instruction or the writing process. AI appears to be used as an analytic tool, not as an LLM-based pedagogical intervention.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The focus is explicitly on oral fluency and spoken narratives (\u201coral fluency,\u201d \u201cspoken narratives,\u201d \u201cspeed fluency,\u201d \u201cbreakdown fluency,\u201d \u201crepair fluency\u201d). Writing competence or writing-related variables are not the primary focus.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The outcomes measured are oral fluency metrics (speed, breakdown, repair fluency) and formulaic sequence use in spoken narratives. No writing outcomes or writing-related measures are reported.""}}"
