Title,Year,Decision,Notes
Indocl: Benchmarking Indonesian Language Development Assessment,2024,exclude,"{""c1"": {""status"": ""fail"", ""evidence"": ""Participants are L2 learners of Indonesian: \u201cIndoCL corpus (Indonesian Corpus of L2 Learners), which comprises compositions written by undergraduate students majoring in Indonesian language.\u201d The target language is Indonesian, not English, so it does not match the review\u2019s focus on L2 English learners.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""The study explores using pre-trained language models and LLMs for language development assessment (LDA), not as an instructional or intervention tool in writing pedagogy. There is no experimental or quasi-experimental design integrating LLMs into writing instruction or writing processes.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The primary focus is automated language development assessment and benchmarking (LDA tasks), not improving learners\u2019 writing competence through pedagogical intervention. It is essentially an assessment/benchmarking study, not a writing instruction context.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The abstract reports model performance on LDA tasks and feasibility of LLMs for LDA, but does not describe any intervention with learners or quantifiable writing outcome metrics resulting from LLM-mediated instruction. Outcomes are system performance metrics, not learner writing gains.""}}"
Exploring the Influence of Ai and Chatgpt on University Efl Learners,2024,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are university-level English as a Foreign Language (EFL) learners, clearly L2 English learners in an EFL context.""}, ""c2"": {""status"": ""pass"", ""evidence"": ""The intervention explicitly uses ChatGPT (an LLM) and other AI tools in an experimental design with experimental and control groups to support language learning.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The primary outcome is grammatical proficiency/accuracy and related language skills. Writing is used mainly for reflective essays to capture perceptions, not as the main instructional focus or target competence. The context is grammar learning rather than writing competence or writing-related variables.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""Quantitative outcomes reported concern grammatical accuracy and learner engagement. There is no indication that writing quality or writing-related performance metrics were measured as outcomes; reflective essays are used for perceptions, not assessed as writing outcomes.""}}"
Students’ Engagement in Seeking and Accepting Chatgpt Feedback in Essay Writing: a Study of Second Language Learners at Varying Proficiency Levels,2024,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""The title and abstract indicate the participants are second language learners engaged in academic English writing, which aligns with L2 English learners in an ESL/EFL context.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""Although ChatGPT (an LLM) is used as a feedback tool, the study is described as a case study focusing on utilization patterns, human-computer interaction, and interviews. There is no indication of an experimental or quasi-experimental design testing an instructional intervention with control/comparison conditions.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The context is clearly L2 academic English essay writing, with ChatGPT used to provide feedback during the writing process. The focus is on writing-related processes and strategies, not on automated scoring or non-pedagogical evaluation.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The abstract reports qualitative findings about metacognitive strategies and perceptions across proficiency levels, based on interaction and interview data. It does not mention any quantifiable writing outcome measures (e.g., scores, rubric-based gains, error rates) assessing the effectiveness of the ChatGPT-mediated intervention.""}}"
"The Effects of a Quillbot-based Intervention on English Language Majors’ Efl Writing Performance, Apprehension, and Self-efficacy",2024,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are 18 fourth-year English Language majors in an EFL context at Matrouh University. The abstract explicitly refers to EFL writing performance, indicating L2 English learners.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""The intervention is based on QuillBot, described as an AI-powered writing assistant. QuillBot is not clearly identified as an LLM-based pedagogical tool in the abstract, and in the review\u2019s criteria, tools like QuillBot are explicitly listed as examples of AI tools to be excluded when they are not transformer-based generative LLMs integrated as such in instruction.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The primary focus is on EFL writing performance and related affective variables (writing apprehension and self-efficacy). The intervention involves drafting, receiving AI-generated feedback, revising, and producing final drafts, which is clearly a writing-focused pedagogical context rather than automated scoring.""}, ""c4"": {""status"": ""pass"", ""evidence"": ""The study uses a pre/post-test design with one writing test and two scales to measure writing performance, apprehension, and self-efficacy. It reports significant positive effects on writing performance, providing quantifiable outcome metrics for the intervention.""}}"
Developing an Ai-enhanced Video Drama-making Learning System to Support Efl Learners in Authentic Contexts,2024,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are EFL university students, clearly L2 English learners in an EFL context: \u201cimprove English as a Foreign Language (EFL) learning\u2026 involving sixty-three university students.\u201d""}, ""c2"": {""status"": ""pass"", ""evidence"": ""The system uses \u201cGPT-generated sentences\u201d alongside other AI components, indicating integration of an LLM (GPT) into the learning system, which is an AI-enhanced instructional intervention.""}, ""c3"": {""status"": ""unclear"", ""evidence"": ""The system aims to enhance \u201cspeaking and writing skills\u201d via video drama-making, but the abstract does not specify that the primary focus is writing competence; speaking and multimodal production may be equally or more central.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""Outcomes are reported only in terms of Technology Acceptance Model (TAM): \u201cusability, usefulness, and positive influence on learners\u2019 attitudes towards technology.\u201d No quantifiable writing performance or writing-related outcome measures are described.""}}"
Exploring the Impact of Ai in Language Education: Vietnamese Efl Teachers’ Views on Using Chatgpt for Fairy Tale Retelling Tasks,2024,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are Vietnamese tertiary-level English as a Foreign Language (EFL) teachers discussing students\u2019 fairy tale retelling writing tasks in English, fitting an EFL/ESL/ELL context focused on English.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""Although ChatGPT (an LLM) is the focal tool, the study is purely qualitative and explores teachers\u2019 perceptions. There is no experimental or quasi-experimental design implementing ChatGPT as an actual intervention with learners.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The context is writing-related: the use of ChatGPT in students\u2019 fairy tale retelling writing tasks and its integration into language teaching, which is directly tied to writing activities.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The study uses semi-structured interviews and thematic analysis to explore perceptions, challenges, and opportunities. It does not report quantifiable writing outcome metrics or measure the effectiveness of an LLM-mediated writing intervention.""}}"
Synergizing Generative Pre-trained Transformer (gpt) Chatbots in a Process-based Writing Paradigm to Enhance University Students’ Writing Skill,2024,include,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are explicitly described as 'university EFL students,' indicating learners of English as a foreign language. The focus is on their English writing skills (organization, content, coherence-cohesion, logical connection, argumentation), satisfying the requirement for L2 English learners in an EFL context.""}, ""c2"": {""status"": ""pass"", ""evidence"": ""The intervention is 'GPT-based chatbots within a process-based writing framework.' GPT-based chatbots are large language models (Generative Pre-trained Transformer). The study uses them as part of a structured instructional design over 10 sessions, fulfilling the requirement for an LLM-mediated writing intervention with an experimental (pre\u2013post) design.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The primary focus is on enhancing 'students\u2019 writing skills' within a 'process-based writing framework' (planning, drafting, revising, editing). The study examines specific writing components and how GPT chatbots support the writing process, not automated scoring or system evaluation, aligning with writing competence as the central outcome.""}, ""c4"": {""status"": ""pass"", ""evidence"": ""Quantitative writing outcomes are reported: pre- and post-writing test scores (mean scores 9.13 vs. 17.03) and progression across four writing quizzes for multiple writing components. These provide measurable writing performance data to assess the effectiveness of the GPT-based intervention.""}}"
L2 Students’ Barriers in Engaging with Form and Content-focused Ai-generated Feedback in Revising Their Compositions,2024,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""The participants are described as 'Forty-five L2 students in a computer science program' working on argumentative essays in English, indicating L2 English learners in an academic EFL/ESL context.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""Although ChatGPT (an LLM) is used to provide corrective feedback, the study is observational/analytic: students were 'tasked with seeking corrective feedback from ChatGPT' and their revisions and rationales were analyzed. There is no experimental or quasi-experimental design comparing conditions or systematically testing an instructional intervention.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The focus is on L2 writing ('revising their compositions', 'argumentative essays') and engagement with AI-generated feedback at form and content levels, which is directly related to writing processes and competence.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The abstract reports proportions of feedback uptake/rejection and qualitative reasons for ignoring feedback, but does not mention any quantifiable writing outcome metrics (e.g., changes in writing quality, scores, accuracy) to assess the effectiveness of the LLM-mediated intervention.""}}"
Enhancing English Writing Courses in the Uae: the Potential of Generative Ai Tools,2024,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants were 38 postgraduate students in the UAE who were all non-native English speakers, indicating an L2 English learner population in an EFL/ESL-type context.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""The study is described as qualitative, exploring potential challenges and possibilities of incorporating generative AI tools like ChatGPT. There is no indication of an experimental or quasi-experimental intervention where LLMs are systematically integrated into instruction with measured effects.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The primary focus is on exploring challenges, possibilities, and educational implications of using generative AI in English writing courses, not on implementing and evaluating a concrete writing intervention or instructional design using LLMs.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The study uses thematic analysis of qualitative data from open-ended questions. No quantifiable writing outcome metrics or experimental measures of writing performance are reported.""}}"
Korean-as-a-foreign-language Learners’ Engagement with Machine Translation Output,2024,exclude,"{""c1"": {""status"": ""fail"", ""evidence"": ""Participants are US university students learning Korean as a foreign language. The target language is Korean, not English, and the focus is on Korean-as-a-foreign-language writing, which falls outside the review\u2019s scope of L2 English learners in ESL/EFL/ELL contexts.""}, ""c2"": {""status"": ""unclear"", ""evidence"": ""The abstract refers to \u201cmachine translators and other artificial intelligence-assisted programs\u201d but does not specify whether these are LLM-based (e.g., ChatGPT, GPT-4) or traditional MT systems (e.g., phrase-based or NMT without LLM interaction). The specific technology is not identified.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The study explicitly focuses on foreign language writing and how students use machine translators to revise their writing, analyzing their engagement and revision strategies. The primary context is writing processes and writing-related behavior.""}, ""c4"": {""status"": ""unclear"", ""evidence"": ""The study is described as an exploratory case study analyzing cognitive and behavioral engagement and reporting that students could identify and correct errors. However, the abstract does not clearly indicate quantifiable writing outcome metrics (e.g., pre/post writing scores), so it is unclear whether structured, quantitative writing outcomes are reported.""}}"
Exploring Interrelationships among L2 Writing Subskills: Insights from Cognitive Diagnostic Models,2024,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are 500 English as a foreign language (EFL) students, clearly indicating L2 English learners in an EFL context.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""The study uses cognitive diagnostic models (G-DINA, DINA, DINO, A-CDM, LLM, RRUM) to analyze writing subskills. Here, \u201cLLM\u201d refers to a log-linear model within CDM, not a transformer-based large language model like ChatGPT or GPT-4. No LLM-based writing intervention or instructional use is described.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The focus is on modeling interrelationships among L2 writing subskills using CDMs, not on a pedagogical intervention or instructional integration of (large) language models into writing instruction or processes.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""Although writing performance data are analyzed, there is no experimental or quasi-experimental intervention involving LLM-mediated writing instruction, and no comparison of writing outcomes attributable to such an intervention.""}}"
Efl Teachers’ Perceptions of the Use of an Ai Grading Tool (cograder) in English Writing Assessment at Saudi Universities: an Activity Theory Perspective,2024,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are EFL teachers at Saudi universities, working with English as a Foreign Language learners. The context is clearly EFL/ESL with English as the target language.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""The study focuses on an AI grading tool (CoGrader) for essay scoring and feedback and examines teachers\u2019 beliefs about its use. There is no indication that CoGrader is an LLM-based tool (e.g., ChatGPT-like transformer-based generative model), nor that it is integrated as an instructional writing intervention; it is framed as scoring software.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The primary focus is on writing assessment (AI grading) and teachers\u2019 perceptions, not on pedagogical writing instruction or development of writing competence. It evaluates CoGrader as an essay scoring and feedback tool, not as part of a structured instructional intervention.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The study reports teachers\u2019 beliefs and perceptions via questionnaires and interviews. It does not report quantifiable student writing outcome measures or experimental effects of an AI-mediated writing intervention on learners\u2019 writing performance.""}}"
