Title,Year,Decision,Notes
Technology-assisted Language Learning Systems: a Systematic Literature Review,2024,exclude,"{""c1"": {""status"": ""unclear"", ""evidence"": ""The abstract indicates that most reviewed studies targeted English, but as this is a systematic review of multiple technologies and languages, it is not focused on a specific L2 English learner population with primary data. The exact participant populations are not detailed in the abstract.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""The article is a systematic literature review of technology-assisted language learning in general. It does not report an experimental or quasi-experimental intervention using LLMs such as ChatGPT or GPT-4; instead, it synthesizes prior work across various technologies.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The focus is broad technology-assisted language learning, covering multiple skills (vocabulary, writing, grammar, etc.) and general benefits. It is not an empirical study implementing a specific writing-focused pedagogical intervention with LLMs.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""As a review article, it does not present original experimental outcome measures of a particular LLM-mediated writing intervention. It summarizes empirical evidence from other studies rather than reporting its own quantifiable writing outcomes.""}}"
Automatic Correction Method for English Composition Errors Assisted by Artificial Intelligence,2024,exclude,"{""c1"": {""status"": ""unclear"", ""evidence"": ""The abstract refers to students\u2019 English composition as a second language but does not clearly specify that the participants are L2 English learners in ESL/EFL/ELL contexts, nor does it describe an actual learner sample; it mainly presents a system description and simulation results.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""The study presents an AI-assisted deep learning\u2013based automatic correction system. It is framed as an intelligent essay correction and scoring tool using feature extraction and dynamic time normalization. There is no indication that it uses a large language model (e.g., ChatGPT/GPT-style transformer-based generative model); it appears to be an automated scoring/correction engine rather than an LLM-mediated instructional intervention.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The primary focus is on developing an automatic essay correction and grading system to support teachers\u2019 efficiency. It is essentially an automated essay correction/scoring tool, not a pedagogical writing intervention study examining changes in learners\u2019 writing competence through instructional use of LLMs.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The abstract reports only \u2018simulation results\u2019 showing that the system supports teachers and improves efficiency. It does not report quantifiable learner writing outcome measures (e.g., pre/post writing scores, accuracy, complexity) from an experimental or quasi-experimental intervention with students.""}}"
Chatgpt over My Friends: Japanese English-as-a-foreign-language Learners' Preferences for Editing and Proofreading Strategies,2024,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are 33 Japanese English-as-a-foreign-language learners, clearly an EFL context with English as the target language.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""Although ChatGPT-3.5 (an LLM) is used, the design is not experimental or quasi-experimental in terms of learning outcomes. Learners simply experience two activities (writing groups and ChatGPT) and then complete questionnaires about their experiences and preferences; there is no controlled intervention to test effectiveness on writing performance.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The context is academic writing in an EFL classroom, focusing on editing and proofreading to improve clarity and cohesion in writing, which is directly writing-related.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""Outcomes reported are students\u2019 preferences, perceived value, and experiences via questionnaires. The abstract does not mention any quantifiable writing performance metrics (e.g., scores, error rates, rubric-based assessments) to evaluate the effectiveness of the LLM-mediated intervention.""}}"
Exceptional Talent and Enthusiasm for Math: an Examination of Storylines Circulated by Chatgpt about Mathematical Learners,2024,exclude,"{""c1"": {""status"": ""fail"", ""evidence"": ""Participants are described broadly as different types of mathematical learners, including English language learners, but the focus is not on L2 English learners in ESL/EFL/ELL contexts nor on English as the target language. The context is mathematics learning and identity, not L2 English learning.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""ChatGPT is used to provide feedback to learners\u2019 mathematical writing, but the study is explicitly described as an exploratory examination of storylines and narratives in ChatGPT\u2019s feedback, not as an experimental or quasi-experimental pedagogical intervention integrating LLMs into instruction.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The primary focus is on mathematical learning, identity, and narratives about different learner groups, not on writing competence or writing-related variables as an instructional target. Writing is only the medium (mathematical writing) through which ChatGPT\u2019s feedback is analyzed.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The abstract reports qualitative analysis of ChatGPT\u2019s feedback and the storylines it promotes. There is no indication of quantifiable writing outcome metrics or an intervention designed to assess changes in learners\u2019 writing performance.""}}"
Chatgpt as Artificial Intelligence-based Generative Multimedia for English Writing Pedagogy: Challenges and Opportunities from an Educator's Perspective,2024,exclude,"{""c1"": {""status"": ""unclear"", ""evidence"": ""The abstract discusses English language writing pedagogy and English language teachers\u2019 views on ChatGPT, but it does not specify any empirical participant population (e.g., EFL/ESL/ELL learners). It is a literature-based discussion rather than a study with defined L2 learners as participants.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""The paper is explicitly described as a narrative literature review synthesizing existing studies, blog posts, and other sources about ChatGPT in English writing pedagogy. It does not report an experimental or quasi-experimental intervention where ChatGPT is directly integrated into instruction with measured outcomes.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""Although the focus is on English writing pedagogy and ChatGPT, the article is conceptual/review-based, examining opportunities, challenges, and educator perspectives. It does not implement or evaluate a specific pedagogical intervention in a research context.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""No quantifiable writing outcome metrics are reported. The findings concern themes about teachers\u2019 views, benefits, and challenges of ChatGPT, without experimental measures of changes in learners\u2019 writing performance.""}}"
Leveraging Chatgpt for Second Language Writing Feedback and Assessment,2024,exclude,"{""c1"": {""status"": ""unclear"", ""evidence"": ""The abstract refers broadly to 'L2 writing contexts' and 'second language writing' but does not specify that the focus is on L2 English learners (ESL/EFL/ELL) or that the target language is English specifically.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""The paper is described as reviewing representative studies and explaining sub-topics, drawing on multiple projects, but it is framed as a discussion/review article rather than reporting a specific experimental or quasi-experimental LLM-based intervention study with its own design and data.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The focus is explicitly on L2 writing feedback, assessment, and the L2 writing process, including ChatGPT-student collaboration and ChatGPT-supported teacher feedback, which are clearly writing-related pedagogical contexts.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The abstract does not mention any quantifiable writing outcome metrics or experimental results; it instead reviews literature and discusses potential and innovative sub-topics, indicating a conceptual/review nature without reported intervention outcomes.""}}"
Whether English Proficiency and English Self-efficacy Influence the Credibility of Chatgpt-generated English Content of Emi Students,2024,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are college students in English-medium instruction (EMI) courses, i.e., non-English majors using English as an additional language in content courses. The focus is on English proficiency and English self-efficacy, indicating L2 English learners.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""Although ChatGPT (an LLM) is used, the study is observational/survey-based. Instructors \u2018encouraged\u2019 students to use ChatGPT, but there is no experimental or quasi-experimental design testing a structured LLM-based writing intervention.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The primary focus is on perceived credibility of ChatGPT-generated English content and its relation to English proficiency and self-efficacy. While the course is \u2018Technical Writing and Presentation\u2019, the abstract does not focus on writing competence or writing-related performance outcomes, but on credibility judgments.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""Outcomes are survey-based measures of perceived credibility (CCGEC) and their relation to EP and ESE. No quantifiable writing performance metrics or writing quality measures are reported to assess the effectiveness of ChatGPT as a writing intervention.""}}"
Investigating the Impact of Chatgpt as an Ai Tool on Esl Writing: Prospects and Challenges in Saudi Arabian Higher Education,2024,unsure,"{""c1"": {""status"": ""pass"", ""evidence"": ""The participants are explicitly described as ESL students at a Saudi Arabian university, indicating L2 English learners in an EFL/ESL context with a focus on English writing proficiency.""}, ""c2"": {""status"": ""unclear"", ""evidence"": ""The abstract states that the study explores the impact of ChatGPT on ESL students' writing proficiency and mentions integration into writing instruction, but it does not clearly describe an experimental or quasi-experimental intervention design (e.g., treatment vs. control, pre/post with structured use of ChatGPT). The nature of the design and how ChatGPT was systematically integrated remain unspecified.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The primary focus is on ESL writing proficiency and writing instruction. Reported opportunities (personalized feedback, vocabulary expansion, autonomy) and challenges (loss of individuality, reduced creativity) are all framed around writing development, not automated scoring or non-pedagogical evaluation.""}, ""c4"": {""status"": ""pass"", ""evidence"": ""The abstract notes that data from 130 students showed a \u2018significant positive effect on their writing,\u2019 implying quantitative outcome measures of writing proficiency were collected and analyzed, alongside qualitative focus group data.""}}"
Generative Ai's Recolonization of Efl Classrooms: the Case of Continuation Writing,2024,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""The context is Chinese English as a Foreign Language (EFL) classrooms and continuation writing in China's EFL assessment, clearly involving L2 English learners in an EFL context.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""Although the paper discusses using generative AI to provide sample writings and uses data generated via AI chatbots, it is a critical/discursive analysis rather than an experimental or quasi-experimental pedagogical intervention study. There is no structured LLM-mediated instructional intervention being tested.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The primary focus is on ideological, cultural, and discourse implications (recolonization, native-speakerism, cultural hollowness) of AI-generated continuation writing samples, not on developing or evaluating writing competence through an instructional intervention.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The abstract does not report any quantifiable writing outcome metrics or experimental measures. It illustrates arguments with AI-generated data and SFL analysis, focusing on risks and power dynamics rather than measured changes in learners\u2019 writing performance.""}}"
Generative Ai as a Collaborative Companion: Enhancing Peer Feedback in Efl Writing Classes,2024,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are described as being in an English as a Foreign Language (EFL) writing class, which fits the target population of L2 English learners in an EFL context.""}, ""c2"": {""status"": ""unclear"", ""evidence"": ""The abstract refers to \u201cGenerative Artificial Intelligence (GAI)\u201d as a collaborative companion in peer feedback, but does not specify that it is an LLM (e.g., ChatGPT, GPT-4) or any transformer-based generative model. The nature of the AI system is not clearly defined.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The context is explicitly EFL writing classes, focusing on peer feedback in writing and aiming to improve overall writing ability, which aligns with a primary focus on writing competence and writing-related variables.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The study is described as exploratory, proposing a framework and discussing advantages and implications. There is no mention of experimental or quasi-experimental design, nor of quantifiable writing outcome metrics; it appears conceptual/descriptive rather than reporting measured intervention outcomes.""}}"
