Title,Year,Decision,Notes
Understanding English as a Foreign Language Students' Idea Generation Strategies for Creative Writing with Natural Language Generation Tools,2023,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are explicitly described as English as a foreign language (EFL) students in Hong Kong secondary schools, so the population is L2 English learners in an EFL context.""}, ""c2"": {""status"": ""unclear"", ""evidence"": ""The study uses \u201cnatural language generation (NLG) tools\u201d for idea generation, but the abstract does not specify whether these are large language model\u2013based tools (e.g., ChatGPT/GPT-like) or other AI/NLG systems. Thus, it is unclear if LLMs are involved.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The primary focus is on idea generation strategies and students\u2019 interactions and concerns when using NLG tools, not on systematically improving or measuring writing competence. The workshops involve creative writing, but the study centers on qualitative reflections and strategy use rather than a writing-focused pedagogical intervention with assessed outcomes.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The study reports a thematic analysis of written reflections and discusses students\u2019 strategies and attitudes. There is no indication of quantitative writing outcome metrics or experimental comparison to assess the effectiveness of NLG-mediated writing intervention.""}}"
"Artificial Intelligence in English Language Teaching: the Good, the Bad and the Ugly",2023,exclude,"{""c1"": {""status"": ""unclear"", ""evidence"": ""The abstract discusses English language teaching (ELT) broadly and mentions learners, teachers, and institutions, but does not specify that participants are L2 English learners in ESL/EFL/ELL contexts within an empirical study. It appears to be a conceptual or overview article rather than a participant-based study.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""The article is a general discussion of AI in ELT, describing current uses, opportunities, challenges, and ethical issues. It mentions chatbots, machine translation, intelligent tutoring systems, and automated writing evaluation, but there is no indication of an experimental or quasi-experimental design integrating LLMs into writing instruction or processes.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The primary focus is broad AI use in ELT, including ethical issues, surveillance, privacy, and digital literacies. Writing is only briefly referenced via automated writing evaluation as one of many AI tools, and the abstract explicitly states that detailed consideration of these tools is beyond the scope of the article. Writing competence is not the central focus.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The abstract does not describe any empirical intervention or report quantifiable writing outcome metrics. It is an overview/discussion piece about AI in ELT, not an experimental study measuring writing-related outcomes.""}}"
Recipe: How to Integrate Chatgpt into Efl Writing Education,2023,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are explicitly described as 213 undergraduate and graduate students enrolled in EFL writing courses, i.e., L2 English learners in an EFL context.""}, ""c2"": {""status"": ""pass"", ""evidence"": ""The study presents RECIPE, a learning platform that integrates ChatGPT (a large language model) into EFL writing education, with ChatGPT prompted to take an EFL teacher role and interact with students about their self-written summaries.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The context is EFL writing courses, and the platform is designed for revising an essay and supporting EFL writing education, so the primary focus is on writing-related learning.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The abstract reports collection of interaction data, students\u2019 perceptions, usage, user scenarios, and qualitative interviews to explore design opportunities. It does not mention any experimental or quasi-experimental design with quantifiable writing outcome measures (e.g., writing scores, quality ratings, accuracy gains). Outcomes appear to be usage/perception-focused rather than measured writing improvement.""}}"
Chatgpt and the Efl Classroom: Supplement or Substitute in Saudi Arabia’s Eastern Region,2023,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are 64 EFL learners at a language learning institution in Saudi Arabia\u2019s Eastern Region, clearly indicating L2 English learners in an EFL context.""}, ""c2"": {""status"": ""pass"", ""evidence"": ""The study compares teacher-mediated versus ChatGPT-assisted writing opportunities, indicating that an LLM (ChatGPT) is integrated into the writing process as part of the instructional context.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The context is explicitly writing-focused: it examines satisfaction with teacher-mediated versus bot-created writing opportunities in an EFL classroom, which is directly related to writing instruction.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""Outcomes are learners\u2019 perceptions of learning satisfaction (learning content, learning progress, ease of use, interactive opportunities) based on open-ended questions and factor analysis. The abstract does not report any quantifiable writing performance metrics or objective writing outcomes; it focuses solely on satisfaction and perceptions.""}}"
Using Chatgpt for Second Language Writing: Pitfalls and Potentials,2023,exclude,"{""c1"": {""status"": ""unclear"", ""evidence"": ""The abstract discusses second language (L2) writing in general but does not specify that the focus is on L2 English learners or any particular language context (ESL/EFL/ELL).""}, ""c2"": {""status"": ""fail"", ""evidence"": ""The article is explicitly described as a 'tech review' that explores potential benefits and challenges of using ChatGPT for L2 writing. It does not describe an experimental or quasi-experimental intervention or actual classroom implementation.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""Although the focus is on L2 writing pedagogy, the paper is a conceptual/tech review, not an empirical study of a writing intervention or instructional context with implemented activities.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""No quantifiable writing outcome metrics or experimental measures are mentioned. The paper offers recommendations and discusses potentials and pitfalls rather than reporting measured effects on writing performance.""}}"
Assessing the Effectiveness of Quillbot-mediated Instruction in Enhancing Efl Students’ Paraphrasing Skills,2023,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are explicitly described as EFL students enrolled in a Technical Writing course at university, indicating L2 English learners in an EFL context.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""The intervention uses QuillBot, described as an online paraphrasing tool. QuillBot is not clearly identified as an LLM-based, transformer generative model in the abstract, and is generally categorized as an AI paraphrasing tool rather than an educational integration of LLMs like ChatGPT or GPT-4. Thus it does not meet the specified LLM-based intervention criterion.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The focus is on paraphrasing skills within Technical Writing, a core writing-related competence. The study examines how QuillBot-mediated instruction affects students\u2019 paraphrasing performance, aligning with writing competence as the primary focus.""}, ""c4"": {""status"": ""pass"", ""evidence"": ""A test was used to investigate the effect of QuillBot-mediated instruction on students\u2019 paraphrasing skills, indicating quantifiable outcome measures of writing performance, supplemented by semi-structured interviews.""}}"
X-education: Education of All Things with Ai and Edge Computing-one Case Study for Efl Learning,2022,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""The abstract explicitly mentions a preliminary study for EFL writing with 22 learners, indicating participants are EFL (English as a Foreign Language) learners, which fits the L2 English learner population criterion.""}, ""c2"": {""status"": ""unclear"", ""evidence"": ""The study uses \u201con-device AI\u201d and an X-Education framework with Q&A forwarding mechanisms, but it is not specified that this AI is a large language model (e.g., ChatGPT, GPT-4, transformer-based generative model). The nature of the AI (LLM vs. other AI) is unclear from the abstract.""}, ""c3"": {""status"": ""unclear"", ""evidence"": ""The context includes EFL writing and Q&A to support EFL learning, and learners report that X-Education could help them learn EFL writing better. However, the primary focus appears to be on \u2018knowledge of all things\u2019 and Q&A interactions rather than clearly on writing competence or writing-related variables as the main outcome.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The abstract reports that knowledge of all things in the experimental group increased more than the control group and that learners received better EFL answers and perceived help for EFL writing. It does not report any quantifiable writing outcome metrics (e.g., writing scores, text quality measures); outcomes are knowledge gains and perceived support, not measured writing performance.""}}"
Impact on Second Language Writing Via an Intelligent Writing Assistant and Metacognitive Training,2022,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are explicitly described as English as a foreign language (EFL) learners using TOEFL iBT-style independent writing tasks, indicating L2 English learners in an EFL context.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""The intervention is an \u201cinternally developed writing aid with next-word prediction, reverse translation support, and metacognitive prompts.\u201d There is no indication that this tool is a large language model (e.g., ChatGPT/GPT-style transformer-based generative model); it appears to be a predictive text/translation aid rather than an LLM-based system.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The primary focus is on second language writing output and writing quality in TOEFL-style tasks, with an intervention designed to support writing and metacognitive thinking. This aligns with a writing competence context.""}, ""c4"": {""status"": ""pass"", ""evidence"": ""The study uses a randomized control trial and assesses writing outputs with machine and human ratings using several measures of writing quality, providing quantifiable writing outcome metrics.""}}"
Determinants Affecting Teachers' Adoption of Ai-based Applications in Efl Context: an Analysis of Analytic Hierarchy Process,2022,exclude,"{""c1"": {""status"": ""fail"", ""evidence"": ""The study focuses on EFL teachers\u2019 adoption of AI-based applications and collects opinion data from 17 experts. There is no indication that participants are L2 English learners or that learner writing data are involved.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""The study analyzes determinants of teachers\u2019 adoption of AI-based applications using an Analytic Hierarchy Process model. It does not describe an experimental or quasi-experimental LLM-based writing intervention (e.g., ChatGPT integrated into instruction). The specific AI tools and whether they are LLMs are not detailed, and the focus is on adoption factors, not an instructional intervention.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The primary focus is on technology adoption factors (effectiveness, efficiency, complexity, fees, rewards, etc.) for AI applications in EFL, not on writing competence or writing-related variables. Writing is not mentioned as a target skill or context of the AI use.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""No quantifiable writing outcome metrics are reported. Outcomes concern weighted importance of adoption factors, not changes in learners\u2019 writing performance or related measurable writing constructs.""}}"
The Role of Psycholinguistics for Language Learning in Teaching Based on Formulaic Sequence Use and Oral Fluency,2022,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""The participants are explicitly described as Chinese EFL learners (learners of English as a foreign language), which fits the target population of L2 English learners in an EFL context.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""The abstract mentions that the study used \u2018artificial intelligence techniques\u2019 for analysis, but there is no indication that a large language model (e.g., ChatGPT, GPT-4) was integrated into instruction or learners\u2019 writing processes. AI appears to be used as an analytic tool, not as an LLM-based pedagogical intervention.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The study focuses on oral fluency and the role of formulaic sequences in spoken narratives. The primary outcome variables are speed, breakdown, and repair fluency in speaking, not writing competence or writing-related variables.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""Although the study reports quantitative outcomes (correlations between formulaic sequence use and oral fluency measures), these outcomes are exclusively related to oral fluency, not writing performance or writing-related metrics. Thus it does not meet the requirement for quantifiable writing outcomes.""}}"
