Title,Year,Decision,Notes
Technology-assisted Language Learning Systems: a Systematic Literature Review,2024,exclude,"{""c1"": {""status"": ""unclear"", ""evidence"": ""The abstract notes that most reviewed studies target English, but it does not specify that participants are L2 English learners in ESL/EFL/ELL contexts. As a review article, it aggregates multiple populations, some of which may not match the required population.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""This is a systematic literature review of technology-assisted language learning in general. It does not itself implement an experimental or quasi-experimental LLM-based intervention (e.g., ChatGPT, GPT-4). It summarizes prior work rather than reporting a primary LLM-integrated instructional intervention.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The review covers multiple language skills (vocabulary, writing, grammar, etc.) and technology types broadly. Writing is only one of several skills mentioned and is not the primary focus of a specific intervention; the article is not centered on a concrete writing pedagogy context.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""As a secondary study, it synthesizes empirical evidence from other articles and does not report its own quantifiable writing outcome metrics from an LLM-mediated intervention. It therefore does not meet the requirement for primary experimental measures of writing outcomes.""}}"
Automatic Correction Method for English Composition Errors Assisted by Artificial Intelligence,2024,exclude,"{""c1"": {""status"": ""unclear"", ""evidence"": ""The abstract refers to students and second language learners in general but does not specify that the participants are L2 English learners in ESL/EFL/ELL contexts, nor does it describe an actual learner sample; it mainly presents a system description and simulation results.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""The study introduces an AI-assisted deep learning\u2013based automatic correction system for English composition errors. It is framed as an AI/DL system, not explicitly as a large language model (e.g., ChatGPT, GPT-4). The description focuses on preprocessing, feature extraction, and dynamic time normalization, which are characteristic of traditional ML/DL, not transformer-based generative LLMs.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The primary focus is on developing an automatic essay correction and grading system to support teachers\u2019 correction and data analysis. It is essentially an automated scoring/correction tool; there is no described pedagogical writing intervention design or instructional integration beyond general claims of supporting teaching.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The article reports simulation results about system effectiveness in supporting teachers and improving efficiency, but it does not report quantifiable writing outcome metrics for learners (e.g., changes in writing quality, accuracy, or complexity) resulting from an intervention using the system.""}}"
Chatgpt over My Friends: Japanese English-as-a-foreign-language Learners' Preferences for Editing and Proofreading Strategies,2024,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are 33 Japanese English-as-a-foreign-language learners, clearly an EFL population learning English as L2.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""Although ChatGPT-3.5 (an LLM) is used, the design is not experimental or quasi-experimental in terms of learning outcomes. The study contrasts experiences and preferences between writing groups and ChatGPT use, focusing on perceptions rather than testing an instructional intervention\u2019s effect on performance.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The context is academic writing: learners use writing groups and ChatGPT for editing and proofreading academic writing assignments, and the focus is on writing practices and feedback.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""Outcomes reported are questionnaire-based experiences, preferences, and perceived effectiveness. There is no mention of quantifiable writing performance metrics (e.g., scores, error rates, rubric-based gains) to assess the effectiveness of the LLM-mediated intervention.""}}"
Exceptional Talent and Enthusiasm for Math: an Examination of Storylines Circulated by Chatgpt about Mathematical Learners,2024,exclude,"{""c1"": {""status"": ""fail"", ""evidence"": ""Participants are described broadly as different types of mathematical learners, including English language learners, but the focus is not on L2 English learners in ESL/EFL/ELL contexts nor on English as the target language. The context is mathematics learning and identity, not L2 English learning.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""ChatGPT is used to provide feedback to learners\u2019 mathematical writing, but the study is explicitly described as an exploratory examination of ChatGPT\u2019s feedback and the storylines it circulates. There is no indication of an experimental or quasi-experimental pedagogical intervention integrating LLMs into instruction.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The primary focus is on narratives and storylines about mathematical learners (race, labels such as gifted/special education/ELL) and how ChatGPT participates in these narratives. Writing competence or writing-related pedagogical outcomes are not the central focus.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The abstract reports qualitative analysis of ChatGPT\u2019s feedback and the narratives it promotes. There is no mention of quantifiable writing outcome metrics or assessment of the effectiveness of an LLM-mediated writing intervention.""}}"
Chatgpt as Artificial Intelligence-based Generative Multimedia for English Writing Pedagogy: Challenges and Opportunities from an Educator's Perspective,2024,exclude,"{""c1"": {""status"": ""unclear"", ""evidence"": ""The abstract discusses English language writing pedagogy and teachers\u2019 views on integrating ChatGPT, but it does not specify any concrete participant population (e.g., EFL/ESL/ELL learners) in an empirical study. It is framed as a narrative literature review, not as primary research with defined L2 English learner participants.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""The study is explicitly described as a narrative literature review synthesizing existing work, blog posts, and other sources about ChatGPT in English writing pedagogy. It does not report an experimental or quasi-experimental intervention where LLMs are directly integrated into instruction with primary data collection; instead, it summarizes opportunities and challenges from educators\u2019 perspectives.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""Although the focus is on English language writing pedagogy, the paper is a conceptual/narrative review of ChatGPT\u2019s role, benefits, and challenges. It does not describe a specific pedagogical intervention being implemented and evaluated; rather, it discusses potential uses and implications at a general level.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The abstract does not mention any quantitative writing outcome measures or experimental results. Findings are thematic (teachers\u2019 views, benefits, challenges) and qualitative in nature, consistent with a narrative literature review. There are no reported metrics of writing performance or other quantifiable writing-related outcomes.""}}"
Leveraging Chatgpt for Second Language Writing Feedback and Assessment,2024,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""The title and abstract explicitly focus on L2 writing and the use of ChatGPT in L2 writing contexts, implying second language English learners are a primary population of interest.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""The paper is described as reviewing representative studies and explaining sub-topics, not as conducting an experimental or quasi-experimental intervention itself. It is conceptual/review-based rather than an empirical intervention study integrating ChatGPT into instruction with its own data.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The focus is clearly on L2 writing feedback, assessment, and writing processes (e.g., ChatGPT-student collaboration in the L2 writing process, teacher feedback, assessment), which are writing-related variables.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The abstract does not indicate that the paper reports original, quantifiable writing outcome metrics. It reviews literature and discusses projects and potential uses, but no experimental measures or structured outcome data are mentioned.""}}"
Whether English Proficiency and English Self-efficacy Influence the Credibility of Chatgpt-generated English Content of Emi Students,2024,exclude,"{""c1"": {""status"": ""unclear"", ""evidence"": ""Participants are college students in English-medium instruction (EMI) courses and non-English majors, which likely implies L2 English learners, but the abstract does not explicitly state that they are ESL/EFL/ELL or L2 English learners. The focus is on EMI rather than clearly defined L2 status.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""ChatGPT is present, but the study is observational/survey-based. Instructors encouraged use of ChatGPT for discovery learning; there is no experimental or quasi-experimental design testing a structured LLM-based writing intervention. The study examines factors influencing perceived credibility of ChatGPT-generated content, not an intervention effect.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The course is titled \u201cTechnical Writing and Presentation,\u201d but the measured construct is the credibility of ChatGPT-generated English content (CCGEC), not writing competence or writing-related performance variables. The focus is on credibility judgments in EMI tasks, not on writing development or instruction outcomes.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""Outcomes are survey-based measures of perceived credibility (CCGEC) and relationships with English proficiency and self-efficacy. No quantifiable writing performance metrics (e.g., writing quality scores, accuracy, complexity) are reported to assess the effectiveness of an LLM-mediated writing intervention.""}}"
Investigating the Impact of Chatgpt as an Ai Tool on Esl Writing: Prospects and Challenges in Saudi Arabian Higher Education,2024,unsure,"{""c1"": {""status"": ""pass"", ""evidence"": ""The participants are explicitly described as ESL students at a Saudi Arabian university, indicating L2 English learners in an EFL/ESL context with focus on English writing proficiency.""}, ""c2"": {""status"": ""unclear"", ""evidence"": ""The abstract states that the study explores the impact of ChatGPT on ESL students' writing proficiency and discusses integration into writing instruction, but it does not specify whether there was an experimental or quasi-experimental intervention design (e.g., treatment vs. control, pre/post with structured ChatGPT use) versus a more general correlational or exploratory use.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The primary focus is on ESL writing proficiency and writing instruction. Reported opportunities (personalized feedback, vocabulary expansion, autonomy) and challenges (loss of individuality, reduced creativity) are all framed around writing and its development.""}, ""c4"": {""status"": ""unclear"", ""evidence"": ""The abstract mentions a \u2018significant positive effect on their writing\u2019 based on data from 130 students, suggesting quantitative outcomes, but it does not specify the nature of the writing measures (e.g., rubric scores, test scores) or whether these are structured, quantifiable writing outcome metrics derived from an intervention using ChatGPT.""}}"
Generative Ai's Recolonization of Efl Classrooms: the Case of Continuation Writing,2024,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""The context is Chinese English as a Foreign Language (EFL) classrooms and continuation writing in China's EFL assessment, clearly involving L2 English learners in an EFL context.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""Although the paper discusses using generative AI and AI chatbots to provide sample writings, it is a critical/discursive analysis. There is no indication of an experimental or quasi-experimental pedagogical intervention integrating LLMs into instruction; instead, it problematizes potential recolonization and analyzes AI-generated texts.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The primary focus is on ideological, cultural, and linguistic risks (recolonization, native-speakerism) in AI-generated continuation writing samples, not on improving writing competence or evaluating a writing intervention. It is a critical examination of language patterns, not a teaching experiment.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The abstract does not mention any quantifiable writing outcome metrics or measured effects on learners\u2019 writing. It illustrates arguments with AI-generated data and SFL analysis, but there is no structured intervention with pre/post or comparative writing scores.""}}"
Generative Ai as a Collaborative Companion: Enhancing Peer Feedback in Efl Writing Classes,2024,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""The context is clearly EFL writing classes, so participants are English as a Foreign Language learners, i.e., L2 English learners.""}, ""c2"": {""status"": ""unclear"", ""evidence"": ""The abstract refers to \u201cGenerative Artificial Intelligence (GAI)\u201d as a collaborative companion in peer feedback, but does not specify that it is an LLM (e.g., ChatGPT/GPT-4) or detail any concrete experimental or quasi-experimental intervention; it mainly proposes a framework and implementation steps.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The focus is on EFL writing classes, peer feedback, and improving overall writing ability, which aligns with writing competence and writing-related variables.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The abstract describes an exploratory, conceptual framework and discusses advantages and implications. It does not mention any experimental or quasi-experimental design, nor any reported quantitative writing outcome metrics; it focuses on understanding and proposing an approach rather than measuring effects.""}}"
