Title,Year,Decision,Notes
Impact of Chatgpt on English Academic Writing Ability and Engagement of Chinese Efl Undergraduates,2025,include,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are Chinese undergraduates majoring in English as a foreign language (EFL) at a private university in China. The focus is explicitly on English academic writing, fitting ESL/EFL/ELL L2 English learner contexts.""}, ""c2"": {""status"": ""pass"", ""evidence"": ""The study investigates the impact of ChatGPT, explicitly identified as an AI tool, on students\u2019 English academic writing. A quasi-experimental design with experimental and control classes is used, indicating an LLM-based writing intervention.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The primary focus is on English academic writing ability and engagement in English academic writing. The intervention is pedagogical, not automated scoring or system evaluation, and centers on writing competence and related engagement variables.""}, ""c4"": {""status"": ""pass"", ""evidence"": ""The study reports quantifiable outcomes: English academic writing ability (content, structure and coherence, grammar, linguistic range, vocabulary, spelling, and form) analyzed via independent and paired sample t-tests, as well as survey-based engagement measures. These provide measurable writing-related outcomes of the LLM-mediated intervention.""}}"
Understanding Efl Learners' Strategies in Ai-assisted English Writing: an Activity Theory Perspective,2025,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are explicitly described as English as a foreign language (EFL) learners, indicating L2 English learners in an EFL context.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""The study investigates EFL learners\u2019 strategies when using AI to assist writing, but there is no indication of an experimental or quasi-experimental design, nor explicit mention of a specific LLM (e.g., ChatGPT, GPT-4). It appears to be an exploratory, qualitative study of existing practices rather than an intervention study integrating LLMs.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The focus is on AI-assisted English writing processes and strategies during writing tasks, which aligns with writing competence and writing-related variables.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""Data sources are screenshots, chat logs, and semi-structured interviews, and the abstract reports strategies, usefulness, and concerns. There is no mention of quantifiable writing outcome metrics or measured changes in writing performance resulting from an AI-mediated intervention.""}}"
Korean Efl Learners' Perceptions of Using Chatgpt for English Writing,2025,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are explicitly described as Korean EFL (English as a foreign language) learners, so the population is L2 English learners in an EFL context.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""Although ChatGPT (an LLM) is used, the design is exploratory and perception-focused. There is no indication of an experimental or quasi-experimental intervention design (e.g., no control/comparison group, no pre/post testing, no structured treatment conditions). The study centers on perceptions and types of feedback rather than testing an instructional intervention\u2019s effectiveness.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The context is clearly English writing: students compared their original writing with ChatGPT-edited versions and reflected on differences. The focus is on writing and feedback types, fitting the writing-competence context requirement.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The abstract reports perceptions, engagement with feedback types, and questionnaire responses. It does not mention any quantifiable writing outcome metrics (e.g., scores, rubric-based improvements, accuracy measures) to assess effectiveness of the ChatGPT-mediated writing intervention.""}}"
Assessing the Impact of Microsoft Copilot and Chatgpt on Efl Learners' Interactional Metadiscourse in Argumentative Writing,2025,include,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are explicitly described as Iranian English-as-a-foreign language (EFL) learners, i.e., L2 English learners in an EFL context. The focus is on English argumentative writing and interactional metadiscourse markers in that writing.""}, ""c2"": {""status"": ""pass"", ""evidence"": ""The study compares ChatGPT-based instruction and Microsoft Copilot, both LLM-based chatbots, against a conventional control group. Learners received initial training on using these AI tools and then used them in practice sessions to identify and use IMMs in writing, indicating an experimental design integrating LLMs into writing instruction.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The context is argumentative writing, focusing on identifying and realizing interactional metadiscourse markers in learners\u2019 writing. The intervention is pedagogical (instruction plus practice in writing with LLM support), not just system evaluation or automated scoring.""}, ""c4"": {""status"": ""pass"", ""evidence"": ""The study reports quantitative outcomes: posttest performance in identifying IMMs, analyzed via one-way ANCOVA, comparing ChatGPT, Copilot, and control groups. These are measurable writing-related outcomes tied to the intervention, alongside qualitative perceptions from interviews.""}}"
The Role of Chatgpt in Enhancing Efl Students' Esp Writing Skills: an Experimental Study of Gender and Major Differences,2025,include,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are described as 117 university students learning ESP (English for Specific Purposes) writing, explicitly in an EFL context (EFL students in the title). The target language is English.""}, ""c2"": {""status"": ""pass"", ""evidence"": ""The study is an experimental study using ChatGPT as a self-directed learning tool. ChatGPT is a large language model integrated into the writing learning process, satisfying the LLM-based intervention requirement.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The primary focus is on ESP writing skills. The intervention uses ChatGPT to enhance writing, and outcomes are writing-related (ESP writing skills and their dimensions), not just automated scoring or system evaluation.""}, ""c4"": {""status"": ""pass"", ""evidence"": ""The study uses pre- and post-tests with statistical analyses (Wilcoxon signed-rank test and ANOVA) to measure improvements in writing skills across dimensions, providing quantifiable writing outcome metrics.""}}"
Supporting 2e Bilingual Students with Motor Dysgraphia and Adhd in Writing: Efficacy and Acceptability of Human-ai Hybrid Tutoring,2025,unsure,"{""c1"": {""status"": ""unclear"", ""evidence"": ""Participants are described as \u201ctwice exceptional (2e) bilingual students,\u201d but the abstract does not specify that they are L2 English learners in ESL/EFL/ELL contexts, nor that English is the target language being learned. Their bilingual status alone does not confirm they are L2 English learners in an English-learning context.""}, ""c2"": {""status"": ""unclear"", ""evidence"": ""The intervention is \u201chuman-artificial intelligence (AI) hybrid tutoring,\u201d but the abstract does not identify the AI system (e.g., ChatGPT, GPT-4) or clarify that it is an LLM-based, transformer generative model. It could involve other forms of AI or assistive technology not based on LLMs.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The primary focus is on improving writing skills, including handwriting fluency, orthographic coding, fine motor control, and composition skills. These are writing-related competencies within an instructional intervention, not automated essay scoring or non-pedagogical evaluation.""}, ""c4"": {""status"": ""pass"", ""evidence"": ""The study reports quantitative outcomes: post-tests showed significant improvements in handwriting fluency (speed and legibility), orthographic coding, fine motor control, and composition skills, providing measurable writing-related outcome metrics.""}}"
Effectiveness of Generative Ai in Automated Written Corrective Feedback with Prompting,2025,exclude,"{""c1"": {""status"": ""unclear"", ""evidence"": ""The abstract mentions English writing instruction and an empirical study involving teachers and students, but it does not specify that the students are L2 English learners (ESL/EFL/ELL). Their language background and learner status are not described.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""The study evaluates GPT-4 and other GAI models as automated written corrective feedback (AWCF) tools and compares them to commercial tools. It focuses on model performance and system efficacy, not on an experimental or quasi-experimental pedagogical intervention integrating LLMs into writing instruction or writing processes as a treatment condition.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The primary focus is on the accuracy and consistency of GAI-based AWCF and user perceptions. While related to writing, it is essentially a tool performance and usability study rather than a structured writing competence intervention. It does not describe a designed instructional program or writing intervention using LLMs as part of teaching.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""Quantitative results concern error detection and correction performance of models on datasets, not measured changes in learners\u2019 writing outcomes after an LLM-mediated intervention. Qualitative feedback from participants is reported, but no experimental pre/post or comparative writing outcome metrics for learners are described.""}}"
Artificial Intelligence as an Automated Essay Scoring Tool: a Focus on Chatgpt,2025,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are EFL learners at the B2 level writing essays in English, which fits the target population of L2 English learners in an EFL context.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""ChatGPT is used solely as an Automated Essay Scoring (AES) tool to grade essays, not as part of an instructional or intervention design to support writing processes or instruction.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The primary focus is on the reliability and effectiveness of ChatGPT as an essay scoring system, comparing its scores with human raters. There is no pedagogical writing intervention or instructional context involving LLM use.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The study reports scoring differences and correlations between human and ChatGPT ratings, but does not examine changes in learners\u2019 writing performance or outcomes resulting from an LLM-mediated writing intervention.""}}"
"Under the World of Ai-generated Feedback on Writing: Mirroring Motivation, Foreign Language Peace of Mind, Trait Emotional Intelligence, and Writing Development",2025,unsure,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are explicitly described as English as a Foreign Language (EFL) learners at the College of Languages, Nawroz University, in Iraq. The focus is on English writing proficiency, fitting ESL/EFL/ELL L2 English contexts.""}, ""c2"": {""status"": ""unclear"", ""evidence"": ""The abstract repeatedly refers to \u201cAI-generated feedback\u201d and \u201cAI\u2019s role in language education\u201d but does not specify the AI system (e.g., ChatGPT, GPT-4) or whether it is an LLM-based, transformer generative model versus another type of AI feedback tool (e.g., rule-based, traditional NLP). Thus, it is unclear if an LLM is used.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The intervention is \u2018online writing development with AI-generated feedback\u2019 versus the same writing development without AI feedback. The primary pedagogical focus is on writing development and writing skills, with AI integrated into the writing instruction process.""}, ""c4"": {""status"": ""pass"", ""evidence"": ""The study uses pretest and posttest measures and reports that AI-generated feedback enhanced learners\u2019 writing skills/writing proficiency, indicating quantifiable writing outcome metrics in a quasi-experimental design.""}}"
Exploring Chatgpt as a Writing Assessment Tool,2025,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are in an EFL context in Thailand, and the focus is on teaching English as a Foreign Language, so the population is L2 English learners.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""The study evaluates ChatGPT as an Automated Writing Evaluation (AWE) tool, comparing its ratings to human raters. There is no indication of an experimental or quasi-experimental pedagogical intervention integrating ChatGPT into students\u2019 writing instruction or writing processes.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The primary focus is on ChatGPT\u2019s functionality and validity as an assessment/grading tool (AWE) rather than on a teaching or intervention context aimed at improving writing competence. It aligns with automated essay scoring research, which is excluded by the review criteria.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""Quantitative analyses concern relationships between ChatGPT and human ratings, not pre/post or comparative writing performance outcomes from an LLM-mediated intervention. No experimental writing outcome metrics assessing effectiveness of ChatGPT-based instruction are reported.""}}"
