Title,Year,Decision,Notes
Unleashing the Transformers: Nlp Models Detect Ai Writing in Education,2025,exclude,"{""c1"": {""status"": ""fail"", ""evidence"": ""The abstract does not describe any participant sample or learning context (ESL, EFL, or ELL). It only mentions datasets of human- and AI-generated abstracts and general concerns about non-native speakers, without indicating an L2 English learner population.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""The study uses transformer models (e.g., BERT) to detect whether text is AI- or human-generated. There is no experimental or quasi-experimental pedagogical intervention integrating LLMs into writing instruction or writing processes; the models are used as detectors, not instructional tools.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The primary focus is on AI-writing detection in education, not on developing or assessing writing competence or writing-related pedagogical interventions. It is essentially a detection/classification study, not a writing instruction context.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""No quantifiable writing outcome metrics (e.g., writing quality, complexity, accuracy, fluency) are reported. Outcomes concern detection accuracy of AI vs. human text, not learner writing performance following an LLM-mediated intervention.""}}"
Exploring Learner Prompting Behavior and Its Effect on Chatgpt-assisted English Writing Revision,2025,include,"{""c1"": {""status"": ""pass"", ""evidence"": ""The abstract explicitly states the participants are EFL learners engaged in English writing revision, indicating L2 English learners in an EFL context with a focus on English writing.""}, ""c2"": {""status"": ""pass"", ""evidence"": ""The study uses ChatGPT as an assistant in English writing revision and employs a one-group pretest\u2013posttest experimental design. ChatGPT is a large language model integrated into the writing revision process, satisfying the LLM-based intervention criterion.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The primary focus is on English writing revision quality, including surface-level and higher-order writing elements (content, organization, cohesion). The context is clearly writing competence and writing-related variables, not automated scoring or non-pedagogical evaluation.""}, ""c4"": {""status"": ""pass"", ""evidence"": ""The study uses a one-group pretest\u2013posttest experiment and reports measurable changes in writing quality (improvements in surface-level aspects, minimal enhancement in higher-order elements). The use of Wilcoxon signed-rank test indicates quantifiable outcome measures of writing performance.""}}"
The Effects of Chatgpt-generated Feedback on Saudi Efl Learners’ Writing Skills and Perception at the Tertiary Level: a Mixed-methods Study,2025,include,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are explicitly described as Saudi EFL (English as a Foreign Language) university students, i.e., L2 English learners in an EFL context. The focus is on English academic writing skills.""}, ""c2"": {""status"": ""pass"", ""evidence"": ""The intervention is ChatGPT-generated feedback on students\u2019 writing, compared to teacher-generated feedback, using a pretest\u2013posttest control group design. ChatGPT is a large language model integrated into the writing feedback process.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The primary focus is on writing skills and academic writing, examining the effects of ChatGPT-generated feedback on EFL learners\u2019 writing performance and perceptions. This is a pedagogical writing intervention, not an automated scoring study.""}, ""c4"": {""status"": ""pass"", ""evidence"": ""Quantitative writing outcomes are reported via pretest and posttest writing scores analyzed with ANCOVA. The abstract notes no statistically significant differences in posttest scores between groups, indicating measurable writing outcome metrics.""}}"
"An Ai Chatbot for Efl Writing: Students’ Usage Tendencies, Writing Performance, and Perceptions",2025,unsure,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are EFL students at a high school in Northern Vietnam, clearly indicating L2 English learners in an EFL context.""}, ""c2"": {""status"": ""unclear"", ""evidence"": ""The intervention uses an AI chatbot called the Writing Assistant Bot (WAB) to support EFL writing practice. However, the abstract does not specify whether WAB is based on a large language model (e.g., transformer-based generative model like ChatGPT/GPT-4) or a non-LLM AI system. Without this information, it is unclear if it meets the LLM criterion.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The chatbot is explicitly used to support students\u2019 writing practice at home, with analysis of usage at different writing stages (Planning, Translating) and its impact on aspects of writing (content, organization, vocabulary, language use, mechanics). The focus is clearly on writing competence, not on automated scoring.""}, ""c4"": {""status"": ""pass"", ""evidence"": ""The study reports that the chatbot significantly enhanced writing performance across content, organization, vocabulary, language use, and mechanics, implying quantifiable outcome measures (e.g., timed-writing tests and scoring). Thus, it includes experimental measures of writing outcomes.""}}"
Assessing the Efficacy of Ai-driven Corrective Feedback Via Whatsapp Application to Improve Esl Learners’ Writing Skills: an Experimental Study,2025,unsure,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are 112 undergraduate ESL learners in India. The abstract explicitly refers to them as ESL learners and focuses on English writing skills, satisfying the population requirement.""}, ""c2"": {""status"": ""unclear"", ""evidence"": ""The intervention is described as \u201cAI-driven corrective feedback via WhatsApp application\u201d and outcomes are scored using ChatGPT 4.0. However, it is not clear whether the corrective feedback itself is generated by a large language model (e.g., ChatGPT) integrated into WhatsApp, or by some other non-LLM AI system or human plus AI workflow. The only explicit LLM mentioned (ChatGPT 4.0) is used for scoring, not clearly for the instructional feedback intervention.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The study\u2019s primary focus is on improving ESL learners\u2019 writing skills by reducing grammatical errors in written submissions. It uses AI-driven corrective feedback as a pedagogical intervention and compares it to traditional feedback, aligning with a writing competence context rather than automated essay scoring research alone.""}, ""c4"": {""status"": ""pass"", ""evidence"": ""The study employs a quasi-experimental pre-test/post-test design with control and experimental groups. Participants\u2019 written submissions are assessed and scored, and RM-ANOVA is used to analyze scores. It reports performance differences in grammatical error correction, providing quantifiable writing outcome metrics.""}}"
"Chatgpt Usage Patterns in Essay Writing: a Case Study of Advanced, Intermediate, and Low-proficiency English Learners",2025,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""The participants are described as second language learners at different English proficiency levels (advanced, intermediate, low), indicating L2 English learners in an EFL/ESL context.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""Although ChatGPT (an LLM) is used during argumentative essay writing, the study is framed as a case study of usage patterns and interaction with the tool, not as an experimental or quasi-experimental intervention designed to test an instructional treatment or compare conditions.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The context is clearly writing-focused: students use ChatGPT during argumentative essay writing, and the study explores how they use the AI tool in their writing processes.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The abstract reports qualitative analysis of writing processes and interviews, highlighting usage strategies and AI literacy. It does not mention any quantifiable writing outcome metrics (e.g., scores, accuracy measures, complexity indices) to assess effectiveness of the LLM-mediated intervention.""}}"
Comparing Native and Non-native English Speakers' Behaviors in Collaborative Writing through Visual Analytics,2025,exclude,"{""c1"": {""status"": ""unclear"", ""evidence"": ""The abstract distinguishes between native speakers (NS) and non-native speakers (NNS) of English, but it does not specify that NNS are L2 English learners in ESL/EFL/ELL instructional contexts. The setting appears to be collaborative writing research rather than language learning per se.""}, ""c2"": {""status"": ""fail"", ""evidence"": ""Large language models are used within COALA to generate behavior summaries and support visual analytics, not as an instructional or pedagogical intervention in learners\u2019 writing processes. There is no experimental or quasi-experimental design integrating LLMs into writing instruction for learners.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The primary focus is on analyzing and visualizing collaborative writing behaviors and model interpretability, not on improving writing competence or implementing a writing pedagogy. COALA is an analytics tool for researchers, not a writing intervention for learners.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The study reports user studies on the effectiveness of the visual analytics tool and insights about collaborative processes, but it does not report quantifiable writing outcome metrics (e.g., writing quality, accuracy, complexity) resulting from an LLM-mediated writing intervention.""}}"
Mind the Gap! Choice Independence in Using Multilingual Llms for Persuasive Co-writing Tasks in Different Languages,2025,exclude,"{""c1"": {""status"": ""fail"", ""evidence"": ""Participants are described as globalized workers and Spanish-speaking female participants, but there is no indication that they are L2 English learners in ESL/EFL/ELL contexts. The focus is multilingual LLM use (Spanish and English), not specifically L2 English learning.""}, ""c2"": {""status"": ""pass"", ""evidence"": ""The study explicitly involves writers engaging with an LLM-based writing assistant for charity advertisement writing tasks in Spanish and English, examining utilization patterns. This is a generative multilingual LLM used in writing tasks.""}, ""c3"": {""status"": ""fail"", ""evidence"": ""The primary focus is on behavioral economics concepts (choice independence, beliefs about AI) and donation behavior, not on writing competence or pedagogical writing instruction. The writing task is a vehicle to study decision-making, not an instructional writing intervention.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""Outcomes reported concern persuasiveness of advertisements and donation behavior, and beliefs about AI vs human source. There is no indication of quantifiable L2 English writing development or writing proficiency outcomes as part of an instructional intervention.""}}"
Feedback Seeking Abilities of L2 Writers Using Chatgpt: a Mixed Method Multiple Case Study,2025,exclude,"{""c1"": {""status"": ""pass"", ""evidence"": ""Participants are described as 'three EFL learners of distinct language proficiencies,' indicating L2 English learners in an EFL context, with a focus on English writing classrooms.""}, ""c2"": {""status"": ""pass"", ""evidence"": ""ChatGPT, a large language model, is explicitly used as an automated written corrective feedback (AWCF) provider in L2 writing classrooms, satisfying the requirement for an LLM-based intervention in writing instruction.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The context is L2 writing classrooms, with ChatGPT used to provide written corrective feedback. The focus is on feedback seeking abilities in L2 writing, which is directly related to writing processes and instruction.""}, ""c4"": {""status"": ""fail"", ""evidence"": ""The abstract reports qualitative findings about feedback seeking abilities, perceptions, and a conceptual model. There is no indication of quantifiable writing outcome metrics (e.g., writing scores, accuracy measures, text quality) assessing the effectiveness of the ChatGPT-mediated intervention on writing performance.""}}"
Analysis of a Comparative Study between Traditional Online Automatic Writing Evaluation Systems and Large Language Model-assisted Online Revision for Second Language Writing,2025,unsure,"{""c1"": {""status"": ""unclear"", ""evidence"": ""The abstract refers to \u201cL2 writing\u201d and \u201clearners,\u201d implying second language learners, but it does not explicitly state that the target language is English or that the context is ESL/EFL/ELL. The specific L2 is not identified in the title or abstract.""}, ""c2"": {""status"": ""pass"", ""evidence"": ""The study compares a traditional online automatic writing evaluation system (Pigaiwang) with \u201cLarge Language Models (LLMs)\u201d for online revision of L2 writing. It is described as using experimental data and LLM-assisted online writing correction and feedback, which indicates an experimental or quasi-experimental design integrating LLMs into the writing process.""}, ""c3"": {""status"": ""pass"", ""evidence"": ""The focus is explicitly on \u201ctwo online revision modes of L2 writing\u201d and how they assist learners\u2019 writing levels and enthusiasm for writing revision. This aligns with a primary focus on writing competence and writing-related variables in a pedagogical context.""}, ""c4"": {""status"": ""pass"", ""evidence"": ""The abstract notes that \u201cthrough experimental data\u201d significant differences were found between the two modes in assisting learners\u2019 writing levels, and that LLM-assisted correction can improve learners\u2019 writing levels. This implies quantifiable outcome measures of writing performance were collected and analyzed.""}}"
